time_id,date
1,2023-01-01
2,2023-01-02
3,2023-01-03
4,2023-01-04
5,2023-01-05
6,2023-01-06
7,2023-01-07
8,2023-01-08
9,2023-01-09
10,2023-01-10
11,2023-01-11
12,2023-01-12
13,2023-01-13
14,2023-01-14
15,2023-01-15
16,2023-01-16
17,2023-01-17
18,2023-01-18
19,2023-01-19
20,2023-01-20
21,2023-01-21
22,2023-01-22
23,2023-01-23
24,2023-01-24
25,2023-01-25
26,2023-01-26
27,2023-01-27
28,2023-01-28
29,2023-01-29
30,2023-01-30
31,2023-01-31
32,2023-02-01
33,2023-02-02
34,2023-02-03
35,2023-02-04
36,2023-02-05
37,2023-02-06
38,2023-02-07
39,2023-02-08
40,2023-02-09
41,2023-02-10
42,2023-02-11
43,2023-02-12
44,2023-02-13
45,2023-02-14
46,2023-02-15
47,2023-02-16
48,2023-02-17
49,2023-02-18
50,2023-02-19
51,2023-02-20
52,2023-02-21
53,2023-02-22
54,2023-02-23
55,2023-02-24
56,2023-02-25
57,2023-02-26
58,2023-02-27
59,2023-02-28
60,2023-03-01
