user_sk,event_sk,time_sk,timestamp,device
51,1,1,2023-01-01 01:52:00,desktop
51,2,1,2023-01-01 11:44:00,mobile
69,3,1,2023-01-01 03:30:00,tablet
69,1,1,2023-01-01 18:39:00,tablet
69,4,1,2023-01-01 15:50:00,desktop
69,4,1,2023-01-01 22:59:00,desktop
14,1,1,2023-01-01 13:30:00,tablet
14,4,1,2023-01-01 15:03:00,tablet
14,1,1,2023-01-01 04:11:00,tablet
49,2,1,2023-01-01 01:45:00,tablet
49,4,1,2023-01-01 17:52:00,tablet
49,3,1,2023-01-01 14:18:00,mobile
49,5,1,2023-01-01 21:38:00,tablet
172,5,1,2023-01-01 18:06:00,mobile
172,5,1,2023-01-01 12:46:00,desktop
172,3,1,2023-01-01 04:59:00,mobile
172,2,1,2023-01-01 13:02:00,tablet
172,3,1,2023-01-01 21:16:00,mobile
19,5,1,2023-01-01 13:12:00,desktop
184,3,1,2023-01-01 19:20:00,mobile
184,2,1,2023-01-01 07:35:00,desktop
184,2,1,2023-01-01 22:06:00,desktop
184,2,1,2023-01-01 00:36:00,desktop
184,3,1,2023-01-01 02:04:00,mobile
70,3,1,2023-01-01 00:14:00,tablet
188,2,1,2023-01-01 23:45:00,mobile
188,2,1,2023-01-01 20:08:00,tablet
188,3,1,2023-01-01 02:44:00,mobile
188,3,1,2023-01-01 01:01:00,desktop
188,4,1,2023-01-01 10:18:00,desktop
177,4,1,2023-01-01 19:15:00,mobile
177,5,1,2023-01-01 09:37:00,desktop
177,2,1,2023-01-01 19:04:00,desktop
173,2,1,2023-01-01 05:06:00,tablet
173,4,1,2023-01-01 04:18:00,tablet
173,4,1,2023-01-01 21:12:00,tablet
173,3,1,2023-01-01 01:56:00,tablet
173,1,1,2023-01-01 08:06:00,desktop
117,4,1,2023-01-01 08:43:00,desktop
117,5,1,2023-01-01 03:00:00,desktop
35,1,1,2023-01-01 09:01:00,tablet
35,1,1,2023-01-01 13:45:00,desktop
35,1,1,2023-01-01 01:47:00,tablet
33,5,1,2023-01-01 20:30:00,mobile
33,1,1,2023-01-01 21:58:00,desktop
33,4,1,2023-01-01 01:47:00,tablet
76,5,1,2023-01-01 09:01:00,desktop
76,3,1,2023-01-01 11:51:00,tablet
76,5,1,2023-01-01 13:08:00,mobile
178,5,1,2023-01-01 11:41:00,desktop
178,3,1,2023-01-01 06:38:00,desktop
178,3,1,2023-01-01 03:58:00,desktop
178,4,1,2023-01-01 16:57:00,mobile
178,1,1,2023-01-01 03:11:00,desktop
161,4,1,2023-01-01 12:41:00,desktop
161,2,1,2023-01-01 10:52:00,desktop
161,3,1,2023-01-01 03:49:00,mobile
161,4,1,2023-01-01 08:07:00,tablet
130,2,1,2023-01-01 09:48:00,tablet
56,4,1,2023-01-01 03:49:00,tablet
84,2,1,2023-01-01 14:39:00,mobile
23,3,1,2023-01-01 10:54:00,desktop
23,5,1,2023-01-01 07:26:00,tablet
100,1,1,2023-01-01 12:27:00,desktop
100,3,1,2023-01-01 19:48:00,mobile
100,2,1,2023-01-01 16:33:00,mobile
100,3,1,2023-01-01 16:05:00,desktop
100,2,1,2023-01-01 12:18:00,desktop
189,4,1,2023-01-01 10:31:00,mobile
189,1,1,2023-01-01 09:08:00,tablet
189,5,1,2023-01-01 03:42:00,mobile
189,4,1,2023-01-01 01:14:00,tablet
31,5,1,2023-01-01 06:46:00,desktop
31,3,1,2023-01-01 01:30:00,desktop
71,5,1,2023-01-01 22:26:00,mobile
71,4,1,2023-01-01 02:58:00,tablet
71,5,1,2023-01-01 08:05:00,mobile
71,1,1,2023-01-01 22:38:00,desktop
71,5,1,2023-01-01 21:15:00,tablet
190,4,1,2023-01-01 21:20:00,desktop
190,2,1,2023-01-01 03:56:00,mobile
180,1,1,2023-01-01 06:35:00,mobile
180,1,1,2023-01-01 12:15:00,mobile
180,5,1,2023-01-01 17:21:00,desktop
128,2,1,2023-01-01 04:43:00,tablet
128,1,1,2023-01-01 23:13:00,desktop
128,4,1,2023-01-01 09:29:00,tablet
4,3,1,2023-01-01 11:39:00,desktop
169,1,1,2023-01-01 20:43:00,tablet
169,5,1,2023-01-01 15:31:00,tablet
169,3,1,2023-01-01 18:00:00,tablet
109,1,1,2023-01-01 07:03:00,tablet
154,4,1,2023-01-01 23:00:00,desktop
154,5,1,2023-01-01 21:30:00,tablet
154,5,1,2023-01-01 07:29:00,desktop
154,1,1,2023-01-01 11:16:00,mobile
154,3,1,2023-01-01 23:51:00,tablet
52,4,1,2023-01-01 01:30:00,tablet
52,2,1,2023-01-01 14:47:00,mobile
98,2,1,2023-01-01 07:21:00,tablet
98,1,1,2023-01-01 18:29:00,tablet
98,4,1,2023-01-01 07:28:00,tablet
122,3,1,2023-01-01 08:42:00,mobile
122,3,1,2023-01-01 11:40:00,desktop
122,4,1,2023-01-01 23:11:00,tablet
122,3,1,2023-01-01 06:04:00,tablet
122,3,1,2023-01-01 13:35:00,tablet
175,1,1,2023-01-01 10:39:00,mobile
175,2,1,2023-01-01 13:28:00,desktop
175,2,1,2023-01-01 10:57:00,mobile
175,5,1,2023-01-01 22:14:00,tablet
118,2,1,2023-01-01 18:16:00,mobile
118,4,1,2023-01-01 16:37:00,desktop
63,4,1,2023-01-01 06:59:00,mobile
63,5,1,2023-01-01 17:43:00,mobile
10,2,1,2023-01-01 19:28:00,mobile
10,1,1,2023-01-01 08:25:00,desktop
10,5,1,2023-01-01 00:23:00,tablet
10,3,1,2023-01-01 18:54:00,mobile
89,4,1,2023-01-01 20:42:00,desktop
152,4,1,2023-01-01 14:19:00,tablet
152,2,1,2023-01-01 01:26:00,mobile
152,5,1,2023-01-01 11:35:00,desktop
152,5,1,2023-01-01 09:30:00,desktop
144,5,1,2023-01-01 17:47:00,desktop
144,5,1,2023-01-01 17:40:00,mobile
144,2,1,2023-01-01 23:58:00,mobile
149,4,1,2023-01-01 07:58:00,tablet
149,3,1,2023-01-01 16:38:00,tablet
149,2,1,2023-01-01 06:45:00,desktop
149,4,1,2023-01-01 19:27:00,mobile
24,2,1,2023-01-01 13:52:00,tablet
24,3,1,2023-01-01 08:56:00,mobile
24,2,1,2023-01-01 05:21:00,mobile
24,5,1,2023-01-01 22:26:00,desktop
46,4,1,2023-01-01 01:48:00,tablet
46,1,1,2023-01-01 00:12:00,desktop
46,1,1,2023-01-01 05:27:00,desktop
46,1,1,2023-01-01 17:46:00,mobile
174,2,1,2023-01-01 10:21:00,desktop
111,1,1,2023-01-01 16:39:00,tablet
111,3,1,2023-01-01 12:07:00,desktop
111,5,1,2023-01-01 03:09:00,desktop
111,1,1,2023-01-01 12:53:00,tablet
101,1,1,2023-01-01 14:41:00,tablet
101,2,1,2023-01-01 14:21:00,tablet
101,1,1,2023-01-01 05:49:00,desktop
101,3,1,2023-01-01 09:32:00,desktop
61,5,1,2023-01-01 22:06:00,tablet
61,2,1,2023-01-01 07:06:00,mobile
125,2,1,2023-01-01 10:51:00,mobile
125,3,1,2023-01-01 06:46:00,mobile
125,5,1,2023-01-01 19:28:00,desktop
125,5,1,2023-01-01 02:44:00,mobile
55,3,1,2023-01-01 03:09:00,mobile
55,2,1,2023-01-01 16:59:00,tablet
5,1,1,2023-01-01 07:10:00,tablet
5,4,1,2023-01-01 04:41:00,mobile
5,2,1,2023-01-01 17:10:00,tablet
5,4,1,2023-01-01 07:05:00,desktop
5,3,1,2023-01-01 11:11:00,mobile
42,4,1,2023-01-01 13:00:00,desktop
42,3,1,2023-01-01 09:28:00,tablet
42,5,1,2023-01-01 09:14:00,desktop
42,4,1,2023-01-01 01:14:00,tablet
153,5,1,2023-01-01 22:10:00,desktop
153,5,1,2023-01-01 13:12:00,tablet
153,4,1,2023-01-01 15:53:00,tablet
104,2,1,2023-01-01 01:49:00,tablet
104,1,1,2023-01-01 21:13:00,tablet
74,1,1,2023-01-01 23:19:00,tablet
110,5,1,2023-01-01 02:20:00,mobile
110,4,1,2023-01-01 22:28:00,mobile
110,1,1,2023-01-01 18:04:00,desktop
16,2,1,2023-01-01 04:34:00,tablet
16,4,1,2023-01-01 11:08:00,mobile
16,4,1,2023-01-01 01:15:00,tablet
16,3,1,2023-01-01 04:20:00,tablet
16,4,1,2023-01-01 17:43:00,tablet
21,5,1,2023-01-01 11:55:00,tablet
21,2,1,2023-01-01 08:51:00,mobile
21,5,1,2023-01-01 01:54:00,tablet
21,3,1,2023-01-01 23:42:00,tablet
21,2,1,2023-01-01 23:38:00,tablet
156,2,1,2023-01-01 00:51:00,mobile
156,1,1,2023-01-01 17:10:00,mobile
156,3,1,2023-01-01 01:13:00,tablet
198,3,1,2023-01-01 17:40:00,desktop
198,1,1,2023-01-01 08:57:00,mobile
198,2,1,2023-01-01 03:04:00,mobile
198,1,1,2023-01-01 19:28:00,desktop
198,2,1,2023-01-01 00:10:00,desktop
199,1,1,2023-01-01 05:03:00,mobile
134,2,1,2023-01-01 23:14:00,mobile
134,2,1,2023-01-01 06:54:00,mobile
134,1,1,2023-01-01 15:04:00,tablet
134,1,1,2023-01-01 18:28:00,mobile
134,5,1,2023-01-01 22:44:00,desktop
94,1,1,2023-01-01 09:03:00,mobile
94,3,1,2023-01-01 22:41:00,tablet
94,3,1,2023-01-01 22:08:00,mobile
94,4,1,2023-01-01 06:26:00,mobile
94,4,1,2023-01-01 01:31:00,desktop
99,4,1,2023-01-01 07:24:00,tablet
32,4,2,2023-01-02 01:37:00,mobile
32,3,2,2023-01-02 02:05:00,tablet
173,5,2,2023-01-02 02:40:00,desktop
173,5,2,2023-01-02 22:53:00,desktop
173,3,2,2023-01-02 21:02:00,tablet
173,3,2,2023-01-02 08:32:00,desktop
173,5,2,2023-01-02 00:04:00,tablet
139,4,2,2023-01-02 13:25:00,tablet
139,4,2,2023-01-02 19:20:00,tablet
139,4,2,2023-01-02 03:10:00,mobile
139,4,2,2023-01-02 23:28:00,desktop
132,1,2,2023-01-02 22:18:00,desktop
132,3,2,2023-01-02 02:56:00,desktop
132,4,2,2023-01-02 19:26:00,tablet
132,1,2,2023-01-02 03:42:00,desktop
161,2,2,2023-01-02 15:31:00,mobile
161,2,2,2023-01-02 06:12:00,mobile
161,3,2,2023-01-02 08:27:00,mobile
161,3,2,2023-01-02 10:27:00,desktop
177,3,2,2023-01-02 14:33:00,tablet
194,4,2,2023-01-02 11:13:00,mobile
194,2,2,2023-01-02 14:55:00,desktop
194,5,2,2023-01-02 03:59:00,tablet
194,3,2,2023-01-02 00:02:00,tablet
160,1,2,2023-01-02 19:47:00,desktop
121,1,2,2023-01-02 23:59:00,tablet
121,5,2,2023-01-02 04:54:00,desktop
121,1,2,2023-01-02 15:24:00,desktop
121,1,2,2023-01-02 03:17:00,tablet
121,5,2,2023-01-02 18:23:00,tablet
23,1,2,2023-01-02 22:52:00,mobile
23,2,2,2023-01-02 15:45:00,mobile
9,1,2,2023-01-02 06:09:00,desktop
9,1,2,2023-01-02 19:45:00,mobile
9,4,2,2023-01-02 13:04:00,mobile
118,4,2,2023-01-02 05:54:00,desktop
118,2,2,2023-01-02 07:46:00,desktop
118,2,2,2023-01-02 22:38:00,mobile
118,2,2,2023-01-02 16:33:00,desktop
46,4,2,2023-01-02 02:57:00,mobile
46,5,2,2023-01-02 13:01:00,tablet
46,2,2,2023-01-02 20:52:00,desktop
92,5,2,2023-01-02 11:39:00,tablet
92,1,2,2023-01-02 15:45:00,desktop
92,2,2,2023-01-02 04:06:00,tablet
92,3,2,2023-01-02 19:01:00,mobile
92,3,2,2023-01-02 12:24:00,tablet
128,4,2,2023-01-02 05:39:00,desktop
128,5,2,2023-01-02 15:12:00,desktop
128,1,2,2023-01-02 05:06:00,desktop
128,5,2,2023-01-02 05:16:00,desktop
84,1,2,2023-01-02 05:29:00,mobile
84,5,2,2023-01-02 11:42:00,desktop
84,3,2,2023-01-02 03:57:00,desktop
84,4,2,2023-01-02 13:08:00,tablet
84,4,2,2023-01-02 20:31:00,mobile
140,1,2,2023-01-02 16:07:00,desktop
5,5,2,2023-01-02 10:33:00,tablet
5,3,2,2023-01-02 21:02:00,tablet
5,2,2,2023-01-02 13:38:00,desktop
5,2,2,2023-01-02 19:06:00,mobile
19,4,2,2023-01-02 15:42:00,mobile
19,2,2,2023-01-02 12:16:00,mobile
19,1,2,2023-01-02 02:30:00,mobile
89,4,2,2023-01-02 21:46:00,desktop
86,4,2,2023-01-02 23:02:00,tablet
170,2,2,2023-01-02 07:43:00,desktop
144,2,2,2023-01-02 16:08:00,tablet
53,5,2,2023-01-02 15:36:00,mobile
53,2,2,2023-01-02 13:21:00,mobile
53,1,2,2023-01-02 06:30:00,mobile
53,5,2,2023-01-02 01:28:00,desktop
51,1,2,2023-01-02 18:01:00,mobile
51,4,2,2023-01-02 19:43:00,tablet
51,2,2,2023-01-02 08:02:00,tablet
51,4,2,2023-01-02 07:20:00,mobile
153,5,2,2023-01-02 11:52:00,desktop
153,1,2,2023-01-02 09:48:00,tablet
54,3,2,2023-01-02 12:48:00,tablet
54,3,2,2023-01-02 09:10:00,mobile
61,1,2,2023-01-02 13:24:00,desktop
61,4,2,2023-01-02 07:23:00,desktop
61,1,2,2023-01-02 23:05:00,tablet
61,4,2,2023-01-02 22:17:00,desktop
96,2,2,2023-01-02 12:20:00,mobile
101,1,2,2023-01-02 07:02:00,desktop
101,2,2,2023-01-02 04:24:00,tablet
101,5,2,2023-01-02 23:03:00,desktop
101,5,2,2023-01-02 02:41:00,desktop
122,2,2,2023-01-02 03:04:00,desktop
187,2,2,2023-01-02 20:38:00,mobile
187,1,2,2023-01-02 09:07:00,mobile
187,1,2,2023-01-02 06:52:00,desktop
187,3,2,2023-01-02 11:30:00,desktop
187,1,2,2023-01-02 12:23:00,mobile
174,2,2,2023-01-02 16:01:00,desktop
174,2,2,2023-01-02 14:27:00,tablet
174,3,2,2023-01-02 00:30:00,tablet
172,2,2,2023-01-02 09:40:00,desktop
172,1,2,2023-01-02 04:04:00,tablet
172,4,2,2023-01-02 15:22:00,tablet
62,1,2,2023-01-02 14:01:00,desktop
62,5,2,2023-01-02 04:44:00,tablet
62,2,2,2023-01-02 23:06:00,tablet
62,2,2,2023-01-02 01:17:00,desktop
62,3,2,2023-01-02 12:45:00,tablet
64,5,2,2023-01-02 08:06:00,mobile
