signup_date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2023-01-01,1.0,0.5,1.0,0.0,1.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,2.0,0.5,0.0,0.5,0.5,0.5
2023-01-02,1.0,0.5,2.0,1.5,1.0,1.5,1.0,1.0,0.5,2.0,1.0,1.0,1.5,2.5,2.0,2.5,1.5,1.0,1.0,1.0,1.0,1.5,1.5,0.5,2.0,2.5,0.5,1.5,0.0,2.5,0.0,0.5,1.0,1.0,1.0,2.0,1.5,3.0,1.0,3.0,1.5,1.0,0.5,0.0,0.0,0.5,0.5,0.5,2.5,2.5,1.5,2.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0
2023-01-03,1.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0
2023-01-04,,,inf,inf,inf,inf,,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,,inf,inf,inf,inf,,,inf,,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,,,
2023-01-05,1.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,,,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,,,,,,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,,inf,inf,inf,inf,inf,,inf,inf,inf,inf,,,,,
2023-01-07,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1.5,0.5,0.0,0.5,0.5,0.0,0.0,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,1.0,1.5,1.0,0.5,2.5,1.5,1.5,1.5,1.5,2.0,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.5,1.5,0.5,2.0,0.5,0.0,2.5,0.5,1.0,1.0,2.0,0.5,1.0,1.0,2.0,1.5,1.5,0.0,0.0,1.0,1.0,0.5,0.5,1.5,0.5,3.0,0.5,0.5,0.5,1.5,0.5,0.5,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,1.0,0.5,0.5,1.0,1.0,2.5,2.0,0.5,2.0,0.0,1.0,2.0,0.5,0.5,0.5,1.5,0.5,1.5,0.5,1.5,1.0,0.5,1.0,1.0,0.5,1.5,0.5,1.0,0.0,1.5,1.5,1.0,1.0,0.0,0.5,1.5,2.0,0.5,0.5,2.0,0.5,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
